trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20060518,510180.SH,3.045,2.99,3.05,2.952,3.008,-0.037,-1.2151,829090.07,247482.675,2.99,3.05,2.952,3.008
20060519,510180.SH,3.008,2.991,3.185,2.991,3.097,0.089,2.9588,505585.93,155558.157,2.991,3.185,2.991,3.097
20060522,510180.SH,3.097,3.1,3.16,3.07,3.121,0.024,0.7749,337416.88,105562.327,3.1,3.16,3.07,3.121
20060523,510180.SH,3.121,3.05,3.155,2.98,2.997,-0.124,-3.9731,288740.39,87670.805,3.05,3.155,2.98,2.997
20060524,510180.SH,2.997,3.005,3.051,2.928,2.957,-0.04,-1.3347,227894.99,68255.865,3.005,3.051,2.928,2.957
20060525,510180.SH,2.957,2.958,3.01,2.951,2.976,0.019,0.6425,48851.03,14495.469,2.958,3.01,2.951,2.976
20060526,510180.SH,2.976,2.976,3.045,2.976,3.033,0.057,1.9153,149146.23,45042.955,2.976,3.045,2.976,3.033
20060529,510180.SH,3.033,3.033,3.129,3.033,3.128,0.095,3.1322,141337.23,43639.32,3.033,3.129,3.033,3.128
20060530,510180.SH,3.128,3.13,3.162,3.122,3.148,0.02,0.6394,65591.21,20618.14,3.13,3.162,3.122,3.148
20060531,510180.SH,3.148,3.14,3.172,3.1,3.12,-0.028,-0.8895,140222.72,44132.756,3.14,3.172,3.1,3.12
20060601,510180.SH,3.12,3.12,3.225,3.115,3.222,0.102,3.2692,47601.66,15212.181,3.12,3.225,3.115,3.222
20060602,510180.SH,3.222,3.25,3.258,3.18,3.2,-0.022,-0.6828,31852.03,10245.594,3.25,3.258,3.18,3.2
20060605,510180.SH,3.2,3.2,3.2,3.13,3.194,-0.006,-0.1875,46303.86,14685.23,3.2,3.2,3.13,3.194
20060606,510180.SH,3.194,3.189,3.22,3.16,3.192,-0.002,-0.0626,13335.1,4261.924,3.189,3.22,3.16,3.192
20060607,510180.SH,3.192,3.192,3.192,3.0,3.032,-0.16,-5.0125,61443.94,19013.235,3.192,3.192,3.0,3.032
20060608,510180.SH,3.032,3.0,3.05,2.98,3.03,-0.002,-0.066,22794.52,6833.891,3.0,3.05,2.98,3.03
20060609,510180.SH,3.03,3.015,3.09,2.982,2.984,-0.046,-1.5182,59367.13,17866.353,3.015,3.09,2.982,2.984
20060612,510180.SH,2.984,2.98,3.003,2.946,2.98,-0.004,-0.134,46517.9,13775.735,2.98,3.003,2.946,2.98
20060613,510180.SH,2.98,2.981,3.011,2.97,2.985,0.005,0.1678,7595.28,2277.868,2.981,3.011,2.97,2.985
20060614,510180.SH,2.985,2.98,2.98,2.938,2.953,-0.032,-1.072,46302.77,13634.662,2.98,2.98,2.938,2.953
20060615,510180.SH,2.953,2.956,2.985,2.95,2.951,-0.002,-0.0677,171748.31,50935.922,2.956,2.985,2.95,2.951
20060616,510180.SH,2.951,2.963,3.05,2.963,3.018,0.067,2.2704,92972.01,28057.03,2.963,3.05,2.963,3.018
20060619,510180.SH,3.018,3.01,3.07,2.979,3.053,0.035,1.1597,39110.62,11861.704,3.01,3.07,2.979,3.053
20060620,510180.SH,3.053,3.06,3.1,3.03,3.065,0.012,0.3931,21648.18,6611.164,3.06,3.1,3.03,3.065
20060621,510180.SH,3.065,3.065,3.085,3.042,3.06,-0.005,-0.1631,9714.69,2972.84,3.065,3.085,3.042,3.06
20060622,510180.SH,3.06,3.047,3.07,3.047,3.055,-0.005,-0.1634,21286.27,6521.245,3.047,3.07,3.047,3.055
20060623,510180.SH,3.055,3.052,3.069,3.021,3.067,0.012,0.3928,7516.17,2299.817,3.052,3.069,3.021,3.067
20060626,510180.SH,3.067,3.038,3.125,3.038,3.123,0.056,1.8259,11558.5,3586.939,3.038,3.125,3.038,3.123
20060627,510180.SH,3.123,3.148,3.148,3.109,3.123,0.0,0.0,4016.77,1254.613,3.148,3.148,3.109,3.123
20060628,510180.SH,3.123,3.12,3.13,3.1,3.121,-0.002,-0.064,8264.2,2585.151,3.12,3.13,3.1,3.121
20060629,510180.SH,3.121,3.121,3.198,3.121,3.194,0.073,2.339,19560.43,6204.07,3.121,3.198,3.121,3.194
20060630,510180.SH,3.194,3.19,3.221,3.19,3.198,0.004,0.1252,11461.22,3673.153,3.19,3.221,3.19,3.198
20060703,510180.SH,3.198,3.181,3.255,3.181,3.255,0.057,1.7824,22225.58,7190.178,3.181,3.255,3.181,3.255
20060704,510180.SH,3.255,3.262,3.268,3.206,3.242,-0.013,-0.3994,58397.82,18854.219,3.262,3.268,3.206,3.242
20060705,510180.SH,3.242,3.242,3.242,3.155,3.201,-0.041,-1.2647,19117.22,6093.317,3.242,3.242,3.155,3.201
20060706,510180.SH,3.201,3.2,3.242,3.2,3.242,0.041,1.2808,10413.43,3362.677,3.2,3.242,3.2,3.242
20060707,510180.SH,3.242,3.26,3.26,3.22,3.227,-0.015,-0.4627,5912.75,1914.056,3.26,3.26,3.22,3.227
20060710,510180.SH,3.227,3.224,3.227,3.18,3.227,0.0,0.0,4646.04,1493.465,3.224,3.227,3.18,3.227
20060711,510180.SH,3.227,3.182,3.233,3.182,3.232,0.005,0.1549,6575.64,2118.476,3.182,3.233,3.182,3.232
20060712,510180.SH,3.232,3.21,3.258,3.21,3.242,0.01,0.3094,10608.17,3447.261,3.21,3.258,3.21,3.242
20060713,510180.SH,3.242,3.237,3.237,3.107,3.107,-0.135,-4.1641,19442.16,6088.569,3.237,3.237,3.107,3.107
20060714,510180.SH,3.107,3.1,3.13,3.09,3.11,0.003,0.0966,7628.14,2369.976,3.1,3.13,3.09,3.11
20060717,510180.SH,3.11,3.106,3.134,3.06,3.13,0.02,0.6431,2035.0,635.16,3.106,3.134,3.06,3.13
20060718,510180.SH,3.13,3.1,3.143,3.1,3.119,-0.011,-0.3514,3725.06,1161.147,3.1,3.143,3.1,3.119
20060719,510180.SH,3.119,3.1,3.129,3.05,3.114,-0.005,-0.1603,35108.96,10837.347,3.1,3.129,3.05,3.114
20060720,510180.SH,3.114,3.114,3.114,3.06,3.09,-0.024,-0.7707,882.65,270.992,3.114,3.114,3.06,3.09
20060721,510180.SH,3.09,3.08,3.1,3.08,3.087,-0.003,-0.0971,2303.25,711.062,3.08,3.1,3.08,3.087
20060724,510180.SH,3.087,3.07,3.1,3.03,3.095,0.008,0.2592,5482.38,1694.895,3.07,3.1,3.03,3.095
20060725,510180.SH,3.095,3.1,3.147,3.1,3.134,0.039,1.2601,10908.69,3407.996,3.1,3.147,3.1,3.134
20060726,510180.SH,3.134,3.134,3.134,3.13,3.13,-0.004,-0.1276,1253.0,392.406,3.134,3.134,3.13,3.13
20060727,510180.SH,3.13,3.145,3.145,3.096,3.11,-0.02,-0.639,2958.01,922.013,3.145,3.145,3.096,3.11
20060728,510180.SH,3.11,3.115,3.115,3.05,3.075,-0.035,-1.1254,1031.64,316.746,3.115,3.115,3.05,3.075
20060731,510180.SH,3.075,3.03,3.075,3.004,3.013,-0.062,-2.0163,2653.94,803.284,3.03,3.075,3.004,3.013
20060801,510180.SH,3.013,3.014,3.014,2.97,2.976,-0.037,-1.228,2714.7,812.964,3.014,3.014,2.97,2.976
20060802,510180.SH,2.976,2.976,2.986,2.9,2.925,-0.051,-1.7137,10466.85,3098.63,2.976,2.986,2.9,2.925
20060803,510180.SH,2.925,2.91,2.956,2.91,2.933,0.008,0.2735,1428.75,419.302,2.91,2.956,2.91,2.933
20060804,510180.SH,2.933,2.94,2.94,2.891,2.892,-0.041,-1.3979,7113.42,2075.946,2.94,2.94,2.891,2.892
20060807,510180.SH,2.892,2.905,2.905,2.839,2.839,-0.053,-1.8326,54295.27,15528.417,2.905,2.905,2.839,2.839
