trade_date,ts_code,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20130515,513100.SH,1.001,0.99,0.999,0.989,0.997,-0.004,-0.3996,877116.2,87379.278,0.99,0.999,0.989,0.997
20130516,513100.SH,0.997,0.997,0.999,0.994,0.999,0.002,0.2006,265570.2,26501.42,0.997,0.999,0.994,0.999
20130517,513100.SH,0.999,0.999,1.0,0.996,0.997,-0.002,-0.2002,36379.0,3630.062,0.999,1.0,0.996,0.997
20130520,513100.SH,0.997,1.002,1.004,0.996,0.997,0.0,0.0,80490.17,8033.039,1.002,1.004,0.996,0.997
20130521,513100.SH,0.997,0.997,0.998,0.994,0.997,0.0,0.0,161123.91,16023.195,0.997,0.998,0.994,0.997
20130522,513100.SH,0.997,0.998,1.001,0.998,0.999,0.002,0.2006,46257.0,4622.031,0.998,1.001,0.998,0.999
20130523,513100.SH,0.999,0.996,0.996,0.989,0.991,-0.008,-0.8008,21817.0,2160.731,0.996,0.996,0.989,0.991
20130524,513100.SH,0.991,0.992,0.995,0.991,0.994,0.003,0.3027,16604.0,1647.992,0.992,0.995,0.991,0.994
20130527,513100.SH,0.994,0.995,0.995,0.991,0.995,0.001,0.1006,6492.78,645.097,0.995,0.995,0.991,0.995
20130528,513100.SH,0.995,0.996,0.996,0.991,0.992,-0.003,-0.3015,54124.78,5375.504,0.996,0.996,0.991,0.992
20130529,513100.SH,0.992,0.994,0.997,0.991,0.996,0.004,0.4032,26639.0,2647.352,0.994,0.997,0.991,0.996
20130530,513100.SH,0.996,0.992,0.993,0.991,0.992,-0.004,-0.4016,6701.0,664.511,0.992,0.993,0.991,0.992
20130531,513100.SH,0.992,0.992,0.998,0.992,0.998,0.006,0.6048,10308.0,1026.402,0.992,0.998,0.992,0.998
20130603,513100.SH,0.998,0.995,0.995,0.989,0.99,-0.008,-0.8016,9492.0,939.507,0.995,0.995,0.989,0.99
20130604,513100.SH,0.99,0.992,0.994,0.991,0.993,0.003,0.303,27615.78,2740.707,0.992,0.994,0.991,0.993
20130605,513100.SH,0.993,0.993,0.993,0.987,0.989,-0.004,-0.4028,4503.0,445.24,0.993,0.993,0.987,0.989
20130606,513100.SH,0.989,0.985,0.985,0.97,0.973,-0.016,-1.6178,50635.0,4922.812,0.985,0.985,0.97,0.973
20130607,513100.SH,0.973,0.978,0.98,0.971,0.973,0.0,0.0,26352.21,2566.606,0.978,0.98,0.971,0.973
20130613,513100.SH,0.973,0.962,0.972,0.962,0.966,-0.007,-0.7194,15230.2,1472.109,0.962,0.972,0.962,0.966
20130614,513100.SH,0.966,0.977,0.979,0.975,0.979,0.013,1.3458,29617.77,2892.363,0.977,0.979,0.975,0.979
20130617,513100.SH,0.979,0.975,0.976,0.973,0.976,-0.003,-0.3064,3863.0,376.773,0.975,0.976,0.973,0.976
20130618,513100.SH,0.976,0.981,0.985,0.981,0.984,0.008,0.8197,6568.79,646.251,0.981,0.985,0.981,0.984
20130619,513100.SH,0.984,0.994,0.999,0.992,0.998,0.014,1.4228,29003.77,2887.213,0.994,0.999,0.992,0.998
20130620,513100.SH,0.998,0.985,0.985,0.93,0.981,-0.017,-1.7034,33926.0,3299.454,0.985,0.985,0.93,0.981
20130621,513100.SH,0.981,0.95,0.96,0.947,0.96,-0.021,-2.1407,40060.94,3821.737,0.95,0.96,0.947,0.96
20130624,513100.SH,0.96,0.96,0.96,0.951,0.952,-0.008,-0.8333,8423.99,801.933,0.96,0.96,0.951,0.952
20130625,513100.SH,0.952,0.952,0.952,0.942,0.947,-0.005,-0.5252,11993.99,1133.144,0.952,0.952,0.942,0.947
20130626,513100.SH,0.947,0.95,0.96,0.941,0.946,-0.001,-0.1056,21788.01,2062.152,0.95,0.96,0.941,0.946
20130627,513100.SH,0.946,0.96,0.96,0.954,0.957,0.011,1.1628,13522.5,1293.459,0.96,0.96,0.954,0.957
20130628,513100.SH,0.957,0.961,0.965,0.961,0.963,0.006,0.627,17638.82,1699.745,0.961,0.965,0.961,0.963
20130701,513100.SH,0.963,0.963,0.965,0.96,0.965,0.002,0.2077,5940.66,572.263,0.963,0.965,0.96,0.965
20130702,513100.SH,0.965,0.974,0.974,0.968,0.972,0.007,0.7254,17769.71,1725.76,0.974,0.974,0.968,0.972
20130703,513100.SH,0.972,0.972,0.973,0.97,0.973,0.001,0.1029,9453.61,918.041,0.972,0.973,0.97,0.973
20130704,513100.SH,0.973,0.973,0.978,0.973,0.978,0.005,0.5139,7937.03,774.942,0.973,0.978,0.973,0.978
20130705,513100.SH,0.978,0.986,0.989,0.976,0.989,0.011,1.1247,16698.7,1642.111,0.986,0.989,0.976,0.989
20130708,513100.SH,0.989,0.995,1.0,0.987,0.998,0.009,0.91,32218.4,3204.852,0.995,1.0,0.987,0.998
20130709,513100.SH,0.998,0.997,1.0,0.995,0.996,-0.002,-0.2004,15497.95,1546.46,0.997,1.0,0.995,0.996
20130710,513100.SH,0.996,1.002,1.009,0.993,0.999,0.003,0.3012,37007.43,3698.861,1.002,1.009,0.993,0.999
20130711,513100.SH,0.999,1.0,1.005,0.998,1.004,0.005,0.5005,34670.44,3469.293,1.0,1.005,0.998,1.004
20130712,513100.SH,1.004,1.011,1.02,1.011,1.019,0.015,1.494,56644.5,5767.604,1.011,1.02,1.011,1.019
20130715,513100.SH,1.019,1.026,1.028,1.02,1.023,0.004,0.3925,30694.73,3138.795,1.026,1.028,1.02,1.023
20130716,513100.SH,1.023,1.023,1.023,1.018,1.019,-0.004,-0.391,17099.02,1743.023,1.023,1.023,1.018,1.019
20130717,513100.SH,1.019,1.016,1.021,1.015,1.019,0.0,0.0,9661.34,984.805,1.016,1.021,1.015,1.019
20130718,513100.SH,1.019,1.02,1.022,1.019,1.02,0.001,0.0981,13508.51,1378.244,1.02,1.022,1.019,1.02
20130719,513100.SH,1.02,1.02,1.022,1.018,1.019,-0.001,-0.098,19280.15,1966.169,1.02,1.022,1.018,1.019
20130722,513100.SH,1.019,1.019,1.019,1.013,1.015,-0.004,-0.3925,13668.43,1388.07,1.019,1.019,1.013,1.015
20130723,513100.SH,1.015,1.016,1.017,1.014,1.016,0.001,0.0985,21943.27,2228.584,1.016,1.017,1.014,1.016
20130724,513100.SH,1.016,1.013,1.013,0.995,1.0,-0.016,-1.5748,35217.4,3527.895,1.013,1.013,0.995,1.0
20130725,513100.SH,1.0,1.002,1.004,0.998,1.0,0.0,0.0,24467.14,2447.828,1.002,1.004,0.998,1.0
20130726,513100.SH,1.0,1.009,1.01,1.006,1.01,0.01,1.0,8105.1,817.653,1.009,1.01,1.006,1.01
20130729,513100.SH,1.01,1.01,1.016,1.01,1.015,0.005,0.495,10917.99,1107.134,1.01,1.016,1.01,1.015
20130730,513100.SH,1.015,1.013,1.013,1.01,1.011,-0.004,-0.3941,6559.9,663.067,1.013,1.013,1.01,1.011
20130731,513100.SH,1.011,1.016,1.018,1.013,1.013,0.002,0.1978,12782.9,1297.057,1.016,1.018,1.013,1.013
20130801,513100.SH,1.013,1.014,1.016,1.013,1.014,0.001,0.0987,18476.59,1873.999,1.014,1.016,1.013,1.014
20130802,513100.SH,1.014,1.03,1.033,1.02,1.023,0.009,0.8876,58280.79,5960.456,1.03,1.033,1.02,1.023
20130805,513100.SH,1.023,1.028,1.033,1.028,1.031,0.008,0.782,33408.98,3441.001,1.028,1.033,1.028,1.031
20130806,513100.SH,1.031,1.03,1.031,1.025,1.03,-0.001,-0.097,36447.85,3746.97,1.03,1.031,1.025,1.03
20130807,513100.SH,1.03,1.019,1.02,1.015,1.017,-0.013,-1.2621,29186.09,2968.094,1.019,1.02,1.015,1.017
20130808,513100.SH,1.017,1.02,1.02,1.016,1.018,0.001,0.0983,14304.27,1457.042,1.02,1.02,1.016,1.018
20130809,513100.SH,1.018,1.019,1.026,1.019,1.026,0.008,0.7859,14901.0,1526.663,1.019,1.026,1.019,1.026
20130812,513100.SH,1.026,1.024,1.024,1.014,1.019,-0.007,-0.6823,15893.45,1616.635,1.024,1.024,1.014,1.019
20130813,513100.SH,1.019,1.019,1.023,1.016,1.019,0.0,0.0,10661.47,1087.177,1.019,1.023,1.016,1.019
20130814,513100.SH,1.019,1.023,1.03,1.019,1.021,0.002,0.1963,23877.37,2440.549,1.023,1.03,1.019,1.021
20130815,513100.SH,1.021,1.016,1.02,1.01,1.017,-0.004,-0.3918,27029.01,2742.577,1.016,1.02,1.01,1.017
20130816,513100.SH,1.017,1.0,1.003,1.0,1.001,-0.016,-1.5733,17245.88,1726.323,1.0,1.003,1.0,1.001
20130819,513100.SH,1.001,1.001,1.003,0.999,1.0,-0.001,-0.0999,11012.1,1101.666,1.001,1.003,0.999,1.0
20130820,513100.SH,1.0,0.998,0.999,0.994,0.995,-0.005,-0.5,40554.33,4043.894,0.998,0.999,0.994,0.995
20130821,513100.SH,0.995,1.0,1.004,1.0,1.001,0.006,0.603,7858.0,787.4,1.0,1.004,1.0,1.001
