trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_open,adj_high,adj_low,adj_close
20010827,600519.SH,34.51,37.78,32.85,35.55,,,,406318.0,1410347.179,4.09,4.47,3.89,4.21
20010828,600519.SH,34.99,37.0,34.61,36.86,35.55,1.3100000000000023,3.68,129647.79,463463.143,4.14,4.38,4.1,4.36
20010829,600519.SH,36.98,37.0,36.1,36.38,36.86,-0.4799999999999969,-1.3,53252.75,194689.62,4.38,4.38,4.27,4.31
20010830,600519.SH,36.28,37.51,36.0,37.1,36.38,0.7199999999999989,1.98,48013.06,177558.558,4.3,4.44,4.26,4.39
20010831,600519.SH,37.15,37.62,36.8,37.01,37.1,-0.09000000000000341,-0.24,23231.48,86231.237,4.4,4.45,4.36,4.38
20010903,600519.SH,37.2,37.57,36.85,36.99,37.01,-0.01999999999999602,-0.05,22112.09,82129.438,4.4,4.45,4.36,4.38
20010904,600519.SH,37.01,38.08,36.88,37.46,36.99,0.46999999999999886,1.27,37006.77,139204.38,4.38,4.51,4.37,4.44
20010905,600519.SH,37.61,37.92,37.21,37.44,37.46,-0.020000000000003126,-0.05,26066.95,97796.243,4.45,4.49,4.41,4.43
20010906,600519.SH,37.35,37.47,36.51,36.7,37.44,-0.7399999999999949,-1.98,28997.03,107078.403,4.42,4.44,4.32,4.35
20010907,600519.SH,36.5,36.95,35.65,35.68,36.7,-1.0200000000000031,-2.78,31552.25,113868.743,4.32,4.37,4.22,4.22
20010910,600519.SH,35.4,36.85,35.01,36.7,35.68,1.0200000000000031,2.86,18878.89,68406.471,4.19,4.36,4.14,4.35
20010911,600519.SH,36.8,36.95,36.2,36.29,36.7,-0.4100000000000037,-1.12,11390.81,41579.698,4.36,4.37,4.29,4.3
20010912,600519.SH,35.33,36.2,35.3,35.98,36.29,-0.3100000000000023,-0.85,25045.19,89421.38,4.18,4.29,4.18,4.26
20010913,600519.SH,36.01,36.3,35.7,35.89,35.98,-0.0899999999999963,-0.25,10986.68,39512.775,4.26,4.3,4.23,4.25
20010914,600519.SH,36.01,36.5,35.8,36.3,35.89,0.4099999999999966,1.14,7672.83,27740.691,4.26,4.32,4.24,4.3
20010917,600519.SH,36.08,36.29,35.5,35.84,36.3,-0.45999999999999375,-1.27,8983.97,32183.249,4.27,4.3,4.2,4.24
20010918,600519.SH,35.88,36.55,35.85,36.25,35.84,0.4099999999999966,1.14,10773.26,39006.062,4.25,4.33,4.24,4.29
20010919,600519.SH,36.3,36.92,36.06,36.92,36.25,0.6700000000000017,1.85,8650.53,31597.369,4.3,4.37,4.27,4.37
20010920,600519.SH,36.9,37.05,36.5,36.61,36.92,-0.3100000000000023,-0.84,11173.35,41189.577,4.37,4.39,4.32,4.33
20010921,600519.SH,36.28,36.6,36.0,36.06,36.61,-0.5499999999999972,-1.5,7879.72,28638.681,4.3,4.33,4.26,4.27
20010924,600519.SH,36.06,36.39,36.0,36.05,36.06,-0.010000000000005116,-0.03,4068.6,14703.096,4.27,4.31,4.26,4.27
20010925,600519.SH,36.28,36.54,36.05,36.23,36.05,0.17999999999999972,0.5,3488.45,12639.79,4.3,4.33,4.27,4.29
20010926,600519.SH,36.11,36.48,36.0,36.08,36.23,-0.14999999999999858,-0.41,4956.26,17892.565,4.28,4.32,4.26,4.27
20010927,600519.SH,36.08,36.98,36.0,36.7,36.08,0.6200000000000045,1.72,8778.04,32085.131,4.27,4.38,4.26,4.35
20010928,600519.SH,36.9,37.2,36.5,37.09,36.7,0.39000000000000057,1.06,17088.47,63169.143,4.37,4.4,4.32,4.39
20011008,600519.SH,37.0,37.18,36.25,36.58,37.09,-0.5100000000000051,-1.38,6552.17,24091.149,4.38,4.4,4.29,4.33
20011009,600519.SH,36.6,37.5,36.6,37.3,36.58,0.7199999999999989,1.97,9558.52,35498.605,4.33,4.44,4.33,4.42
20011010,600519.SH,37.3,37.43,36.03,36.1,37.3,-1.1999999999999957,-3.22,17548.69,63956.753,4.42,4.43,4.27,4.27
20011011,600519.SH,36.01,36.5,35.65,35.75,36.1,-0.3500000000000014,-0.97,12306.84,44319.896,4.26,4.32,4.22,4.23
20011012,600519.SH,35.9,36.65,34.05,36.0,35.75,0.25,0.7,20010.7,70897.331,4.25,4.34,4.03,4.26
20011015,600519.SH,35.9,36.0,34.9,35.3,36.0,-0.7000000000000028,-1.94,9755.31,34501.714,4.25,4.26,4.13,4.18
20011016,600519.SH,35.13,35.8,34.75,34.8,35.3,-0.5,-1.42,8319.91,29068.173,4.16,4.24,4.11,4.12
20011017,600519.SH,34.79,34.81,33.9,34.2,34.8,-0.5999999999999943,-1.72,12507.68,42766.283,4.12,4.12,4.01,4.05
20011018,600519.SH,34.2,34.66,33.91,34.04,34.2,-0.1600000000000037,-0.47,4983.46,16999.063,4.05,4.1,4.01,4.03
20011019,600519.SH,34.0,34.15,33.01,33.5,34.04,-0.5399999999999991,-1.59,15687.54,52422.843,4.03,4.04,3.91,3.97
20011022,600519.SH,33.3,33.7,32.7,32.79,33.5,-0.7100000000000009,-2.12,9760.65,32268.911,3.94,3.99,3.87,3.88
20011023,600519.SH,36.0,36.07,35.01,36.07,32.79,3.280000000000001,10.0,40598.24,145710.538,4.26,4.27,4.14,4.27
20011024,600519.SH,36.78,36.8,35.11,35.86,36.07,-0.21000000000000085,-0.58,40682.39,147001.102,4.35,4.36,4.16,4.25
20011025,600519.SH,35.7,35.8,34.86,34.88,35.86,-0.9799999999999969,-2.73,16036.86,56527.283,4.23,4.24,4.13,4.13
